model_class,model,cov_bucket,aleppo_2017__rmse,aleppo_2017__wql,aleppo_2017__sharpness_50,aleppo_2017__coverage_50,aleppo_2017__sharpness_80,aleppo_2017__coverage_80,aleppo_2017__brier_3_9,aleppo_2017__dilate_g001,aleppo_2017__shape_g001,aleppo_2017__temporal_g001,brown_2019__rmse,brown_2019__wql,brown_2019__sharpness_50,brown_2019__coverage_50,brown_2019__sharpness_80,brown_2019__coverage_80,brown_2019__brier_3_9,brown_2019__dilate_g001,brown_2019__shape_g001,brown_2019__temporal_g001,lynch_2022__rmse,lynch_2022__wql,lynch_2022__sharpness_50,lynch_2022__coverage_50,lynch_2022__sharpness_80,lynch_2022__coverage_80,lynch_2022__brier_3_9,lynch_2022__dilate_g001,lynch_2022__shape_g001,lynch_2022__temporal_g001,tamborlane_2008__rmse,tamborlane_2008__wql,tamborlane_2008__sharpness_50,tamborlane_2008__coverage_50,tamborlane_2008__sharpness_80,tamborlane_2008__coverage_80,tamborlane_2008__brier_3_9,tamborlane_2008__dilate_g001,tamborlane_2008__shape_g001,tamborlane_2008__temporal_g001
foundation,moirai,iob,2.7067570581862035,0.778151405163572,2.9878402811924847,0.4506171930238039,5.866948802849432,0.750076105742792,0.0422021842664926,176.7659464955756,337.53530657236854,15.996586418782584,2.5207079901388023,0.7130923227581865,2.8812655395432336,0.4805012251684606,5.662730034982907,0.7802764286339371,0.020082229062461,150.55909757643613,287.3728233261467,13.745371826725528,2.4353203100834677,0.6786932518104642,2.7296256736918387,0.492030965391621,5.303483533647882,0.775878016848816,0.0247566684090318,137.80211768727676,265.5831575488575,10.021077825696011,,,,,,,,,,
foundation,moirai,iob_cob,2.7476755674850843,0.7894635559390235,3.0753485019295086,0.4583590807438795,5.947024137144794,0.7469287017419963,0.0417924936399015,183.65338005552735,351.3061076168636,16.00065249419122,,,,,,,,,,,2.4415844887149065,0.6989811184108251,3.2619072007602727,0.5359567110655737,6.437209605943422,0.8185550432604736,0.0243348350222815,131.59003318255327,252.5792506642824,10.600815700824114,,,,,,,,,,
foundation,moment,zero_shot,3.7710674260365344,,,,,,,364.9966691447127,707.3930410381886,22.600297251236917,3.5561096840633604,,,,,,,304.4640620107009,586.8976344138695,22.030489607532225,3.482677551443768,,,,,,,274.26627910902647,530.9787431795422,17.553815038510713,3.9553240089648463,,,,,,,347.44469395660377,681.5652661523812,13.324121760826277
foundation,moment,bg_only,3.315451958811726,,,,,,,400.5197216739696,777.1552707974853,23.884172550453897,3.021333690755097,,,,,,,319.3967083750963,616.4194918414951,22.3739249086975,2.919593431500344,,,,,,,285.77286375169734,552.7325901180566,18.813137385338,3.506951571191211,,,,,,,410.76981903914833,805.0589615432742,16.48067653502224
foundation,moment,iob,3.339908453828531,,,,,,,406.9748492707661,789.8924627036292,24.05723583790302,3.0488520059979884,,,,,,,322.5350024433118,622.6657811508366,22.404223735787117,2.9483350042910788,,,,,,,288.7256396074994,558.2599085695915,19.19137064540725,,,,,,,,,,
foundation,moment,iob_cob,3.339849516446984,,,,,,,406.1136106474801,788.1128085346452,24.114412760314973,,,,,,,,,,,2.936381618635,,,,,,,283.832407724871,548.7315119653207,18.933303484421337,,,,,,,,,,
foundation,sundial,zero_shot,2.8438945769912864,0.8554992484768352,2.1406834655584093,0.3037552046507974,3.8701576633854295,0.5177792835258073,0.0413205120476773,237.34756236243376,456.5143796183913,18.18074510647621,2.7179917159646045,0.8166794172033018,2.09509080577157,0.2958426314868295,3.817035142087028,0.5204477334383477,0.0195054139327468,232.41917565002672,447.36309332502617,17.4752579750272,2.6713027804122498,0.793034916847906,2.2618576430367856,0.3370012238160291,4.086947729491217,0.5643962033242258,0.0239374382872112,211.28242953509883,408.2875557188944,14.277303351303232,3.3318867849462226,1.0129752121700162,2.218466539567032,0.2742871993445867,4.0433594609373085,0.4720840675817721,0.0436527017893116,363.7513411210701,714.2607813991417,13.24190084299867
foundation,timesfm,zero_shot,2.766648600545281,0.7966801076308468,3.768282544257944,0.5377877288082332,7.15948240346232,0.838164820488648,0.0425901360639224,259.4172768057871,498.7860627380823,20.048490873491936,2.660509656828326,0.7622758982421952,3.734538422739181,0.5471443729762843,7.016569130062024,0.8484537717686182,0.0201812490458688,255.6386203702402,490.9987245995033,20.27851614097719,2.666196870817981,0.7676163324120442,3.978446196120076,0.580750512295082,7.537008066646388,0.8676784494535519,0.0252230470418195,255.45012876511063,492.6555870743698,18.244670455851335,3.3538216062330264,0.955054843742799,4.153347597739578,0.5023012891856798,7.783772114705548,0.797058562109689,0.0456041521826119,425.7215286515343,834.0679325278123,17.37512477525609
foundation,timesfm,bg_only,2.709180319063102,0.7704087679860927,3.218536758153135,0.4890923285411265,6.205747675245748,0.7847459541205123,0.0408090069642961,217.07631496146843,417.1108972644896,17.041732658447255,2.4884371849964952,0.7095170282088589,3.293295232269242,0.5273639187888335,6.399367529002035,0.8242512251684607,0.0199959522653011,200.3075972028813,385.09771907503824,15.517475330724464,2.423418042103183,0.6806695016646158,3.305363444899818,0.5632186361566485,6.382485895208974,0.8425226263661202,0.0239022795870738,181.78155875421623,351.140335549624,12.42278195880852,3.259633051133204,0.936885738551347,4.010535091399439,0.4805588403512026,7.623240317159096,0.7682740910777222,0.0437611926129912,400.1336536086794,784.2619567164631,16.00535050089553
foundation,toto,zero_shot,2.866222899377273,0.8205043025872081,3.328289356647749,0.4719611713410322,6.324947808634512,0.7496440215256501,0.0452831132376363,202.0899998725184,386.8953888805919,17.284610864444858,2.906713897382018,0.8305551915448216,3.3813881527894583,0.4731310711472827,6.406908455883025,0.7520784107814825,0.0236252614805362,207.15383188535583,397.3369738024765,16.970689968235146,2.9698000141757075,0.8481216194687689,3.6410568284647766,0.4908605134335155,6.876892360886928,0.769438752276867,0.028829671625985,201.0005974948502,387.482455039334,14.518739950366442,3.4733478405775813,0.9940652501093504,3.743785580509889,0.4464636276510234,7.082632003343894,0.722456022382984,0.0482692346461104,310.5388250333559,608.5579646685252,12.51968539818668
foundation,toto,bg_only,2.927812128728867,0.8510151591781251,3.6961741298467263,0.501585945478828,7.163974824894778,0.7915439154686149,0.0424856961654179,182.37623497381605,348.0050783441133,16.74739160351881,2.6762332092076746,0.7805422276816655,3.745863372910224,0.5329510151395817,7.26572498369118,0.8317444429859104,0.0202925720883813,154.22530316101157,294.67004434753414,13.78056197448895,2.5699183808798534,0.7578889670771181,3.965283194792929,0.5775913592896175,7.685079670403826,0.8557782616120219,0.0249086523918505,136.80677848255905,263.14816127775504,10.46539568736296,3.339614261767387,0.968364925309793,4.142129433145628,0.4902644453719161,8.020949265657599,0.7821224030792061,0.0449560998448384,260.496742845184,509.3137267225852,11.679758967782858
foundation,toto,iob,2.874611573943713,0.8401087445514587,3.5863891823924785,0.4718580603346688,6.862746744113122,0.7591253240631629,0.0418272189325549,181.89936073133555,345.7179929597417,18.08072850292939,2.712612344178432,0.7914288578501771,3.6196477657037134,0.4912652052157171,6.905694353098376,0.7913029447799074,0.0200576421906242,160.4598676541713,304.83381539766066,16.085919910681984,2.729860031371199,0.8050231908834788,3.85833816021954,0.5185706967213115,7.34620424234198,0.8017382456739526,0.0243430729853169,153.81169788648646,293.61126924499246,14.012126527980426,,,,,,,,,,
