dataset,dataset_label,model,score,n,n_hypo,base_rate,operating_point,thr,tp,fp,fn,tn,sens,spec,ppv,npv,fp_per100,alarms_per100,ppv_lo,ppv_hi,fp_per100_lo,fp_per100_hi,spec_lo,spec_hi
tamborlane_2008,Tamborlane,chronos2,point,10782,4152,0.3850862548692265,youden,-6.525088310241699,2314,2011,1838,4619,0.5573217726396917,0.6966817496229261,0.535028901734104,0.7153476846832895,18.651456130588016,40.11315154887776,,,,,,
tamborlane_2008,Tamborlane,moirai,point,10782,4152,0.3850862548692265,sens90,-7.945071697235107,3737,4988,415,1642,0.9000481695568401,0.24766214177978885,0.42830945558739253,0.7982498784637823,46.2622890001855,80.9219068818401,0.41612089032113636,0.43954154101608356,44.963596735299575,47.87608977926173,0.22483606064164494,0.2650750591146696
tamborlane_2008,Tamborlane,moirai,point,10782,4152,0.3850862548692265,sens80,-7.230614900588989,3322,3932,830,2698,0.8000963391136802,0.40693815987933635,0.4579542321477805,0.7647392290249433,36.46818772027453,67.2787979966611,0.44463985173359966,0.4709332496086941,35.15117788907438,37.84084585420145,0.3868693578038551,0.4262885598712837
tamborlane_2008,Tamborlane,moirai,point,10782,4152,0.3850862548692265,youden,-6.512564659118652,2697,2656,1455,3974,0.6495664739884393,0.5993966817496229,0.5038296282458434,0.7319948425124332,24.633648673715452,49.647560749397144,,,,,,
tamborlane_2008,Tamborlane,toto,point,10782,4152,0.3850862548692265,sens90,-7.449695110321045,3737,4918,415,1712,0.9000481695568401,0.25822021116138766,0.4317735413056037,0.8048895157498824,45.61305880170655,80.27267668336115,0.4215312813504266,0.44426484824036827,44.14742162864032,46.800222593210904,0.24211388283549248,0.2785360190139024
tamborlane_2008,Tamborlane,toto,point,10782,4152,0.3850862548692265,sens80,-6.77660059928894,3322,3798,830,2832,0.8000963391136802,0.4271493212669683,0.4665730337078652,0.7733478973238668,35.22537562604341,66.03598590242997,0.4540499113019924,0.4808235254480931,33.82466147282508,36.57020960860694,0.40766538874069,0.4472172547318641
tamborlane_2008,Tamborlane,toto,point,10782,4152,0.3850862548692265,youden,-6.151147842407227,2661,2471,1491,4159,0.6408959537572254,0.6273001508295626,0.5185113016367888,0.7361061946902655,22.917826006306807,47.597848265627896,,,,,,
tamborlane_2008,Tamborlane,patchtst,point,10782,4152,0.3850862548692265,sens90,-8.755556106567383,3737,5124,415,1506,0.9000481695568401,0.22714932126696832,0.4217356957454012,0.7839666840187403,47.52365052865888,82.18326841031349,0.4113162739796873,0.4332052318294615,46.15099239473196,48.674179187534776,0.2120798520889749,0.24642103361754852
tamborlane_2008,Tamborlane,patchtst,point,10782,4152,0.3850862548692265,sens80,-8.086127281188965,3322,4112,830,2518,0.8000963391136802,0.379788838612368,0.4468657519504977,0.7520908004778972,38.13763680207754,68.9482470784641,0.43429750219870694,0.46153846153846156,36.5238360230013,39.491745501762196,0.3592447553755488,0.40294261172966805
tamborlane_2008,Tamborlane,patchtst,point,10782,4152,0.3850862548692265,youden,-7.5128493309021,2840,3136,1312,3494,0.6840077071290944,0.5269984917043741,0.47523427041499333,0.7270079067831877,29.085512891856798,55.425709515859765,,,,,,
tamborlane_2008,Tamborlane,tft,point,10782,4152,0.3850862548692265,sens90,-8.667540550231934,3737,5199,415,1431,0.9000481695568401,0.2158371040723982,0.41819606087735006,0.7751895991332611,48.21925431274346,82.87887219439807,0.40809395494068823,0.42926509614871966,47.032090521239105,49.29535336672232,0.2026797623101105,0.23107260659534457
tamborlane_2008,Tamborlane,tft,point,10782,4152,0.3850862548692265,sens80,-7.925127983093262,3322,4205,830,2425,0.8000963391136802,0.36576168929110103,0.44134449315796465,0.7450076804915514,39.000185494342425,69.81079577072899,0.42864491928807946,0.4545254623559277,37.54405490632536,40.373075496197366,0.34398362699989926,0.3859997079528241
