dataset,dataset_label,model,metric,point,lo,hi,higher_is_better
brown_2019,DCLP3,chronos2,auprc,0.3452024782616606,0.2919478249718348,0.4046483494011487,True
brown_2019,DCLP3,moirai,auprc,0.3768907911382747,0.3149885632245467,0.4513184494396498,True
brown_2019,DCLP3,toto,auprc,0.3712440745325443,0.31343245475256426,0.43358115124197116,True
brown_2019,DCLP3,timesfm,auprc,0.33517592986408046,0.2830755799851532,0.39676600316931354,True
brown_2019,DCLP3,patchtst,auprc,0.3763760226780367,0.32607849898193897,0.43252541085930846,True
brown_2019,DCLP3,tft,auprc,0.3393825481914448,0.28351934147705454,0.4055427322680097,True
brown_2019,DCLP3,tide,auprc,0.3359597214311736,0.2843904218515647,0.3945389065586924,True
brown_2019,DCLP3,deepar,auprc,0.3550897736620946,0.30731691845475023,0.40786822969533915,True
lynch_2022,IOBP2,chronos2,rmse,2.24831094065991,2.101446811418718,2.3922838046411465,False
lynch_2022,IOBP2,moirai,rmse,2.4346712096570453,2.2912278177161323,2.5791579623155143,False
lynch_2022,IOBP2,toto,rmse,2.5706321735284234,2.421206532147061,2.718256240603476,False
lynch_2022,IOBP2,timesfm,rmse,2.423418042103183,2.2611646685106397,2.5885076739686297,False
lynch_2022,IOBP2,patchtst,rmse,2.451244781091121,2.3134425844915776,2.593903999274375,False
lynch_2022,IOBP2,tft,rmse,2.384860206527764,2.2299672922079026,2.5403321828529855,False
lynch_2022,IOBP2,tide,rmse,2.5143690809214956,2.370751027605671,2.66428009629588,False
lynch_2022,IOBP2,deepar,rmse,2.629881776926638,2.470152257381375,2.7905755125090597,False
lynch_2022,IOBP2,chronos2,wql,0.6136756792560158,0.5770919240275204,0.6516379839272709,False
lynch_2022,IOBP2,moirai,wql,0.6785577991305015,0.6399945224076949,0.717086919988063,False
lynch_2022,IOBP2,toto,wql,0.7582782246376453,0.7173728374975604,0.798964568419578,False
lynch_2022,IOBP2,timesfm,wql,0.6806695016646158,0.6413195747049385,0.7215936546336339,False
lynch_2022,IOBP2,patchtst,wql,0.7049868951207703,0.669441744982098,0.7425014601190917,False
lynch_2022,IOBP2,tft,wql,0.6554357756156038,0.6163098474089724,0.6957871208788527,False
lynch_2022,IOBP2,tide,wql,0.7195863892340818,0.6814210062704316,0.7610805382141986,False
lynch_2022,IOBP2,deepar,wql,0.7800569172056889,0.7384682718106655,0.8221647074006242,False
lynch_2022,IOBP2,chronos2,dilate_shape,272.66274508373226,233.02048376765345,314.7889515159158,False
lynch_2022,IOBP2,moirai,dilate_shape,264.42927891905674,225.3626984003628,306.40061266751565,False
lynch_2022,IOBP2,toto,dilate_shape,265.8113625384394,230.09100578985428,304.5330549332075,False
lynch_2022,IOBP2,timesfm,dilate_shape,351.140335549624,297.35525233766697,408.92338549601124,False
lynch_2022,IOBP2,patchtst,dilate_shape,378.7883750702721,331.40636749226314,428.8234635909128,False
lynch_2022,IOBP2,tft,dilate_shape,337.01320927311383,288.16467458009816,387.60719663788433,False
