dataset,dataset_label,model_a,model_b,wilcoxon_stat,p_raw,p_holm,rank_biserial,mean_rmse_diff,significant_holm
brown_2019,DCLP3,moirai,timesfm,5874.0,0.06850157895866489,0.47951105271065425,0.16253207869974337,0.01698280747570191,False
brown_2019,DCLP3,moirai,patchtst,6206.0,0.19664651338934236,0.9832325669467118,0.1151981750784146,0.02144082457411889,False
brown_2019,DCLP3,moirai,tft,2028.0,1.6190341463729669e-15,3.885681951295121e-14,0.7108639863130881,0.08874103237410358,True
brown_2019,DCLP3,moirai,ttm,3944.0,9.30533129699589e-07,9.30533129699589e-06,-0.4376960364984317,-0.06200787779700123,True
brown_2019,DCLP3,moirai,tide,6300.0,0.25388860960116044,1.0,0.10179640718562874,0.015444459576066105,False
brown_2019,DCLP3,moirai,deepar,3407.0,8.21918304484192e-09,1.3150692871747073e-07,-0.5142571998859424,-0.13043598561680492,True
brown_2019,DCLP3,moirai,moment,150.0,5.415778161429509e-28,2.2746268278003937e-26,-0.9786142001710864,-0.5228384023936652,True
brown_2019,DCLP3,toto,timesfm,561.0,6.236107462351928e-25,2.1826376118231747e-23,0.9200171086398631,0.21683062462714142,True
brown_2019,DCLP3,toto,patchtst,281.0,5.3648518195001324e-27,2.092292209605052e-25,0.9599372683205019,0.2212886417255584,True
brown_2019,DCLP3,toto,tft,803.0,3.240021678263e-23,1.10160737060942e-21,0.8855146849158825,0.2885888495255431,True
brown_2019,DCLP3,toto,ttm,1025.0,1.0661631165752813e-21,3.4117219730409e-20,0.8538637011690904,0.13783993935443828,True
brown_2019,DCLP3,toto,tide,811.0,3.6826843513021834e-23,1.2152858359297205e-21,0.8843741089250071,0.21529227672750562,True
brown_2019,DCLP3,toto,deepar,5434.0,0.011576329592301895,0.09954427094931005,0.22526375819788994,0.0694118315346346,False
brown_2019,DCLP3,toto,moment,355.0,1.9221291794181827e-26,6.919665045905458e-25,-0.9493869404049045,-0.3229905852422257,True
brown_2019,DCLP3,timesfm,patchtst,6702.0,0.6180833208700444,1.0,-0.04448246364414029,0.004458017098416978,False
brown_2019,DCLP3,timesfm,tft,3629.0,6.332462452026575e-08,8.232201187634547e-07,0.4826062161391503,0.07175822489840167,True
brown_2019,DCLP3,timesfm,ttm,2445.0,2.853103124858731e-13,6.562137187175081e-12,-0.6514114627887083,-0.07899068527270314,True
brown_2019,DCLP3,timesfm,tide,6786.0,0.7156051773885707,1.0,-0.032506415739948676,-0.0015383478996358058,False
brown_2019,DCLP3,timesfm,deepar,3371.0,5.8347025847200345e-09,9.918994394024058e-08,-0.5193897918448817,-0.14741879309250683,True
brown_2019,DCLP3,timesfm,moment,237.0,2.4955337625611104e-27,9.982135050244442e-26,-0.9662104362703166,-0.5398212098693671,True
brown_2019,DCLP3,patchtst,tft,3784.0,2.450266275838357e-07,2.6952929034221926e-06,0.46050755631593954,0.06730020779998469,True
brown_2019,DCLP3,patchtst,ttm,2682.0,4.439503976003656e-12,9.322958349607678e-11,-0.6176218990590248,-0.08344870237112012,True
brown_2019,DCLP3,patchtst,tide,6951.0,0.9198104354945214,1.0,0.008982035928143712,-0.005996364998052783,False
brown_2019,DCLP3,patchtst,deepar,3630.0,6.389203666754371e-08,8.232201187634547e-07,-0.48246364414029086,-0.1518768101909238,True
brown_2019,DCLP3,patchtst,moment,85.0,1.7080700190937892e-28,7.686315085922052e-27,-0.9878813800969489,-0.5442792269677841,True
brown_2019,DCLP3,tft,ttm,1666.0,1.2745297074805468e-17,3.4412302101974763e-16,-0.7624750499001997,-0.1507489101711048,True
brown_2019,DCLP3,tft,tide,3611.0,5.3908152351342197e-08,7.547141329187908e-07,-0.4851725121186199,-0.07329657279803747,True
brown_2019,DCLP3,tft,deepar,1420.0,3.924252231763997e-19,1.1772756695291991e-17,-0.7975477616196179,-0.2191770179909085,True
brown_2019,DCLP3,tft,moment,306.0,8.269313726207831e-27,3.0596460786968976e-25,-0.9563729683490163,-0.6115794347677688,True
brown_2019,DCLP3,ttm,tide,2491.0,4.914343683096429e-13,1.0811556102812144e-11,0.6448531508411748,0.07745233737306734,True
brown_2019,DCLP3,ttm,deepar,5424.0,0.011060474549923338,0.09954427094931005,-0.22668947818648416,-0.06842810781980369,False
brown_2019,DCLP3,ttm,moment,96.0,2.077989438651448e-28,9.143153530066371e-27,-0.9863130881094953,-0.46083052459666396,True
brown_2019,DCLP3,tide,deepar,3348.0,4.679638736311322e-09,8.42334972536038e-08,-0.5226689478186484,-0.14588044519287102,True
brown_2019,DCLP3,tide,moment,146.0,5.046087506674258e-28,2.169817627869931e-26,-0.9791844881665241,-0.5382828619697313,True
brown_2019,DCLP3,deepar,moment,1641.0,9.010703169018303e-18,2.5229968873251247e-16,-0.7660393498716852,-0.3924024167768603,True
lynch_2022,IOBP2,chronos2,moirai,9167.0,1.4419580160311197e-20,3.1723076352684633e-19,-0.6122086382672702,-0.17527139605075903,True
lynch_2022,IOBP2,chronos2,toto,2722.0,3.638702029509426e-41,1.4190937915086763e-39,-0.8848513050467448,-0.41155944620194496,True
lynch_2022,IOBP2,chronos2,timesfm,9829.0,7.19009840105321e-19,1.509920664221174e-17,-0.584204069546089,-0.1675931680928151,True
lynch_2022,IOBP2,chronos2,patchtst,6091.0,1.777752979706243e-29,5.333258939118729e-28,-0.7423325859807944,-0.27025047142005243,True
lynch_2022,IOBP2,chronos2,tft,12860.0,4.368499191680145e-12,6.115898868352203e-11,-0.45598375565802274,-0.11528785632609329,True
lynch_2022,IOBP2,chronos2,ttm,4549.0,1.4147940947144915e-34,4.9517793315007206e-33,-0.8075637717331529,-0.3364709973626845,True
lynch_2022,IOBP2,chronos2,tide,5105.0,1.0916920944130927e-32,3.7117531210045153e-31,-0.7840433182452726,-0.3130116460682715,True
lynch_2022,IOBP2,chronos2,deepar,5271.0,3.8988567473397873e-32,1.2866227266221298e-30,-0.7770210245780278,-0.40642947278850694,True
lynch_2022,IOBP2,chronos2,moment,1336.0,1.4618730923413733e-46,6.432241606302042e-45,-0.9434832268708491,-0.755846932197062,True
lynch_2022,IOBP2,moirai,toto,8500.0,2.3429675666171396e-22,5.623122159881135e-21,-0.6404247218579466,-0.23628805015118592,True
lynch_2022,IOBP2,moirai,timesfm,22712.0,0.5514896120356757,0.6263236427027821,0.03921485680443335,0.007678227957943928,False
lynch_2022,IOBP2,moirai,patchtst,15461.0,1.4902119513484112e-07,1.3411907562135701e-06,-0.34595372054655443,-0.0949790753692934,True
lynch_2022,IOBP2,moirai,tft,15379.0,1.1178463968743949e-07,1.117846396874395e-06,0.3494225644062778,0.059983539724665746,True
lynch_2022,IOBP2,moirai,ttm,11465.0,5.244638577026737e-15,9.440349438648127e-14,-0.5149964042472186,-0.16119960131192546,True
lynch_2022,IOBP2,moirai,tide,12656.0,1.7164583208843669e-12,2.5746874813265502e-11,-0.46461356233343204,-0.13774025001751244,True
lynch_2022,IOBP2,moirai,deepar,12622.0,1.4665765697214657e-12,2.346522511554345e-11,-0.46605186344600025,-0.2311580767377479,True
lynch_2022,IOBP2,moirai,moment,2603.0,1.2914967770779106e-41,5.165987108311643e-40,-0.8898853589407335,-0.580575536146303,True
lynch_2022,IOBP2,toto,timesfm,5823.0,2.4775129987923096e-30,7.928041596135391e-29,0.7536697829857439,0.24396627810912985,True
lynch_2022,IOBP2,toto,patchtst,7407.0,1.849912373843386e-25,4.994763409377142e-24,0.6866618723296247,0.14130897478189253,True
lynch_2022,IOBP2,toto,tft,4327.0,2.408295630662101e-35,8.669864270383564e-34,0.8169550319387453,0.29627158987585167,True
lynch_2022,IOBP2,toto,ttm,13557.0,9.359828219431788e-11,1.2167776685261325e-09,0.4264985828503744,0.07508844883926047,True
lynch_2022,IOBP2,toto,tide,14476.0,3.94328654612303e-09,4.337615200735333e-08,0.38762214983713356,0.09854780013367348,True
lynch_2022,IOBP2,toto,deepar,22069.0,0.31316182135139103,0.6263236427027821,0.06641566902153222,0.005129973413438016,False
lynch_2022,IOBP2,toto,moment,2772.0,5.613157103888823e-41,2.1329996994777527e-39,-0.8827361563517915,-0.34428748599511705,True
lynch_2022,IOBP2,timesfm,patchtst,12299.0,3.2138963880409295e-13,5.46362385966958e-12,-0.4797157240153983,-0.10265730332723733,True
lynch_2022,IOBP2,timesfm,tft,17411.0,6.306659167037076e-05,0.0004414661416925953,0.26346292144337746,0.05230531176672182,True
lynch_2022,IOBP2,timesfm,ttm,8609.0,4.651005000428667e-22,1.0697311500985935e-20,-0.6358136977029485,-0.16887782926986938,True
lynch_2022,IOBP2,timesfm,tide,11229.0,1.5547843340059479e-15,2.954090234611301e-14,-0.524979906087398,-0.14541847797545637,True
lynch_2022,IOBP2,timesfm,deepar,10996.0,4.578097998211486e-16,9.156195996422972e-15,-0.5348364990058802,-0.23883630469569184,True
lynch_2022,IOBP2,timesfm,moment,1513.0,7.466150192156543e-46,3.2104445826273136e-44,-0.9359956004907145,-0.5882537641042469,True
lynch_2022,IOBP2,patchtst,tft,7740.0,1.717449780602195e-24,4.465369429565707e-23,0.6725749820212361,0.15496261509395914,True
lynch_2022,IOBP2,patchtst,ttm,14127.0,9.91566400171167e-10,1.1898796802054005e-08,-0.4023858877279073,-0.06622052594263206,True
lynch_2022,IOBP2,patchtst,tide,18480.0,0.0009187982965391187,0.005512789779234712,-0.2182410423452769,-0.04276117464821905,True
lynch_2022,IOBP2,patchtst,deepar,16263.0,2.1526500134890654e-06,1.7221200107912523e-05,-0.3120267354795042,-0.1361790013684545,True
